step=0 | pc=0x00000000 | instr=0x10000513 | mn=addi | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000100 | wb=x10<-0x00000100 | next_pc=0x00000004
step=1 | pc=0x00000004 | instr=0x00700093 | mn=addi | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000007 | wb=x1<-0x00000007 | next_pc=0x00000008
step=2 | pc=0x00000008 | instr=0x00300113 | mn=addi | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000003 | wb=x2<-0x00000003 | next_pc=0x0000000C
step=3 | pc=0x0000000C | instr=0xFFB00193 | mn=addi | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0xFFFFFFFB | wb=x3<-0xFFFFFFFB | next_pc=0x00000010
step=4 | pc=0x00000010 | instr=0x00400213 | mn=addi | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000004 | wb=x4<-0x00000004 | next_pc=0x00000014
step=5 | pc=0x00000014 | instr=0x00100293 | mn=addi | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000001 | wb=x5<-0x00000001 | next_pc=0x00000018
step=6 | pc=0x00000018 | instr=0x01F29293 | mn=slli | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=SLL res=0x80000000 | wb=x5<-0x80000000 | next_pc=0x0000001C
step=7 | pc=0x0000001C | instr=0x00100313 | mn=addi | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000001 | wb=x6<-0x00000001 | next_pc=0x00000020
step=8 | pc=0x00000020 | instr=0x01E31313 | mn=slli | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=SLL res=0x40000000 | wb=x6<-0x40000000 | next_pc=0x00000024
step=9 | pc=0x00000024 | instr=0xFFF00413 | mn=addi | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0xFFFFFFFF | wb=x8<-0xFFFFFFFF | next_pc=0x00000028
step=10 | pc=0x00000028 | instr=0x00208A33 | mn=add | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=0 Br=0 J=0 | alu=ADD res=0x0000000A | wb=x20<-0x0000000A | next_pc=0x0000002C
step=11 | pc=0x0000002C | instr=0x07452223 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000164 | mem@0x00000164 rdata=0x00000000 | next_pc=0x00000030
step=12 | pc=0x00000030 | instr=0x40208A33 | mn=sub | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=0 Br=0 J=0 | alu=SUB res=0x00000004 | wb=x20<-0x00000004 | next_pc=0x00000034
step=13 | pc=0x00000034 | instr=0x07452423 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000168 | mem@0x00000168 rdata=0x00000000 | next_pc=0x00000038
step=14 | pc=0x00000038 | instr=0x00C0FA13 | mn=andi | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=AND res=0x00000004 | wb=x20<-0x00000004 | next_pc=0x0000003C
step=15 | pc=0x0000003C | instr=0x07452623 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x0000016C | mem@0x0000016C rdata=0x00000000 | next_pc=0x00000040
step=16 | pc=0x00000040 | instr=0x0080EA13 | mn=ori | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=OR res=0x0000000F | wb=x20<-0x0000000F | next_pc=0x00000044
step=17 | pc=0x00000044 | instr=0x07452823 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000170 | mem@0x00000170 rdata=0x00000000 | next_pc=0x00000048
step=18 | pc=0x00000048 | instr=0x00A0CA13 | mn=xori | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=XOR res=0x0000000D | wb=x20<-0x0000000D | next_pc=0x0000004C
step=19 | pc=0x0000004C | instr=0x07452A23 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000174 | mem@0x00000174 rdata=0x00000000 | next_pc=0x00000050
step=20 | pc=0x00000050 | instr=0x00211A13 | mn=slli | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=SLL res=0x0000000C | wb=x20<-0x0000000C | next_pc=0x00000054
step=21 | pc=0x00000054 | instr=0x07452C23 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000178 | mem@0x00000178 rdata=0x00000000 | next_pc=0x00000058
step=22 | pc=0x00000058 | instr=0x001A5A13 | mn=srli | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=SRL res=0x00000006 | wb=x20<-0x00000006 | next_pc=0x0000005C
step=23 | pc=0x0000005C | instr=0x07452E23 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x0000017C | mem@0x0000017C rdata=0x00000000 | next_pc=0x00000060
step=24 | pc=0x00000060 | instr=0x4011DA13 | mn=srai | RegW=1 MemR=0 MemW=0 M2R=0 ALUSrc=1 Br=0 J=0 | alu=SRA res=0xFFFFFFFD | wb=x20<-0xFFFFFFFD | next_pc=0x00000064
step=25 | pc=0x00000064 | instr=0x09452023 | mn=sw | RegW=0 MemR=0 MemW=1 M2R=0 ALUSrc=1 Br=0 J=0 | alu=ADD res=0x00000180 | mem@0x00000180 rdata=0x00000000 | next_pc=0x00000068
